DATASET_BINARY
SEPARATOR TAB
DATASET_LABEL	MinION samples
COLOR	#000000
FIELD_COLORS	#111111
FIELD_LABELS	MinION
FIELD_SHAPES	2
LEGEND_TITLE	Platform
LEGEND_SHAPES	2
LEGEND_COLORS	#111111
LEGEND_LABELS	MinION
DATA
72855	0
72882	0
72927	0
73054	0
73201	0
73338	0
73611	0
74016	0
74089	0
75125	0
75176	0
75411	0
75520	0
75582	0
75715	0
75746	0
75840	0
76174	0
76302	0
76304	0
76646	0
76746	0
76793	0
76952	0
76967	0
76985	0
77019	0
77340	0
77364	0
77448	0
77566	0
77655	0
77771	0
77804	0
78036	0
78039	0
78041	0
78203	0
78272	0
78438	0
78506	0
78507	0
78555	0
78894	0
79576	0
79578	0
79579	0
79707	0
79867	0
80213	0
80275	0
80343	0
80344	0
80411	0
80564	0
80725	0
80740	0
80797	0
80798	0
80829	0
80889	0
81048	0
81314	0
81378	0
81440	0
81456	0
81863	0
81956	0
81958	0
81973	0
82126	0
82128	0
82591	0
82961	0
84170	0
85134	0
85160	0
85712	0
86253	0
86535	0
barcode17	1
barcode18	1
barcode19	1
