DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Sequencing platform
COLOR	#000000
LEGEND_TITLE	Sequencing platform
LEGEND_SHAPES	1	1
LEGEND_COLORS	#3B5BA9	#1F9E89
LEGEND_LABELS	Legacy	MinION
DATA
72855	#3B5BA9	Legacy
72882	#3B5BA9	Legacy
72927	#3B5BA9	Legacy
73054	#3B5BA9	Legacy
73201	#3B5BA9	Legacy
73338	#3B5BA9	Legacy
73611	#3B5BA9	Legacy
74016	#3B5BA9	Legacy
74089	#3B5BA9	Legacy
75125	#3B5BA9	Legacy
75176	#3B5BA9	Legacy
75411	#3B5BA9	Legacy
75520	#3B5BA9	Legacy
75582	#3B5BA9	Legacy
75715	#3B5BA9	Legacy
75746	#3B5BA9	Legacy
75840	#3B5BA9	Legacy
76174	#3B5BA9	Legacy
76302	#3B5BA9	Legacy
76304	#3B5BA9	Legacy
76646	#3B5BA9	Legacy
76746	#3B5BA9	Legacy
76793	#3B5BA9	Legacy
76952	#3B5BA9	Legacy
76967	#3B5BA9	Legacy
76985	#3B5BA9	Legacy
77019	#3B5BA9	Legacy
77340	#3B5BA9	Legacy
77364	#3B5BA9	Legacy
77448	#3B5BA9	Legacy
77566	#3B5BA9	Legacy
77655	#3B5BA9	Legacy
77771	#3B5BA9	Legacy
77804	#3B5BA9	Legacy
78036	#3B5BA9	Legacy
78039	#3B5BA9	Legacy
78041	#3B5BA9	Legacy
78203	#3B5BA9	Legacy
78272	#3B5BA9	Legacy
78438	#3B5BA9	Legacy
78506	#3B5BA9	Legacy
78507	#3B5BA9	Legacy
78555	#3B5BA9	Legacy
78894	#3B5BA9	Legacy
79576	#3B5BA9	Legacy
79578	#3B5BA9	Legacy
79579	#3B5BA9	Legacy
79707	#3B5BA9	Legacy
79867	#3B5BA9	Legacy
80213	#3B5BA9	Legacy
80275	#3B5BA9	Legacy
80343	#3B5BA9	Legacy
80344	#3B5BA9	Legacy
80411	#3B5BA9	Legacy
80564	#3B5BA9	Legacy
80725	#3B5BA9	Legacy
80740	#3B5BA9	Legacy
80797	#3B5BA9	Legacy
80798	#3B5BA9	Legacy
80829	#3B5BA9	Legacy
80889	#3B5BA9	Legacy
81048	#3B5BA9	Legacy
81314	#3B5BA9	Legacy
81378	#3B5BA9	Legacy
81440	#3B5BA9	Legacy
81456	#3B5BA9	Legacy
81863	#3B5BA9	Legacy
81956	#3B5BA9	Legacy
81958	#3B5BA9	Legacy
81973	#3B5BA9	Legacy
82126	#3B5BA9	Legacy
82128	#3B5BA9	Legacy
82591	#3B5BA9	Legacy
82961	#3B5BA9	Legacy
84170	#3B5BA9	Legacy
85134	#3B5BA9	Legacy
85160	#3B5BA9	Legacy
85712	#3B5BA9	Legacy
86253	#3B5BA9	Legacy
86535	#3B5BA9	Legacy
barcode17	#1F9E89	MinION
barcode18	#1F9E89	MinION
barcode19	#1F9E89	MinION
